"Ticker","Nome","Negócios","Última (R$)","Variação"
"LAND3","Terra Santa","39.700","9,36","+0,00%"
"LPSB3","Lopes","38.200","1,42","+0,71%"
"GOAU3","Metalúrgica Gerdau","35.600","9,45","+0,53%"
"RNEW3","Renova Energia","33.900","1,17","-0,85%"
"SCAR3","São Carlos","33.200","20,56","+0,39%"
"CSUD3","CSU Cardsystem","33.200","18,24","+1,33%"
"AMOB3","Automob","32.300","12,95","+0,00%"
"EUCA4","Eucatex","31.400","17,60","-0,45%"
"LVTC3","WDC Networks","27.400","3,70","-1,60%"
"HAGA4","Haga","26.900","1,18","+1,72%"
"GGBR3","Gerdau","22.900","15,33","+1,86%"
"JFEN3","João Fortes","22.200","1,79","+7,83%"
"IGTI3","Jereissati Participações","22.100","2,85","-0,35%"
"IGTI3","Iguatemi","22.100","2,85","-0,35%"
"BOBR4","Bombril","22.000","1,42","+6,77%"
"EQPA3","Equatorial Energia Pará","21.900","5,65","-0,53%"
"BEES3","Banestes","21.800","8,18","+0,12%"
"BRAP3","Bradespar","21.500","15,55","+0,58%"
"AGXY3","AgroGalaxy","20.200","5,83","+1,75%"
"AZEV11","Azevedo & Travassos","20.200","0,09","+0,00%"
"WEST3","Westwing","19.100","5,23","-0,57%"
"PDTC3","Padtec","17.200","1,08","+3,85%"
"TRAD3","Traders Club","17.100","5,45","-1,80%"
"PPLA11","PPLA","16.546","0,86","-13,13%"
"INEP4","Inepar","16.200","1,41","-2,08%"
"ENGI3","Energisa","16.000","14,46","+1,54%"
"RAPT3","Randon","15.700","6,50","+0,00%"
"AMAR11","Lojas Marisa","15.600","0,18","+0,00%"
"BMEB4","Banco Mercantil do Brasil","14.800","50,44","+1,45%"
"ALUP4","Alupar","14.500","9,94","-0,50%"
"CAMB3","Cambuci","14.100","9,90","+0,00%"
"CEBR3","CEB","14.000","22,41","-0,44%"
"PTNT4","Pettenati","13.100","4,76","+0,00%"
"BIED3","BIED3","13.000","3,30","+6,80%"
"LUPA3","Lupatech","12.800","1,13","-0,88%"
"EALT4","Electro Aço Altona","12.300","11,74","-1,59%"
"UNIP3","Unipar","11.500","62,30","-0,86%"
"CTAX3","CTAX3","11.500","1,17","+2,63%"
"DOTZ3","Dotz","10.000","8,93","-0,22%"
"OIBR4","Oi","9.800","7,37","+2,50%"
"FICT3","Fictor Alimentos","8.500","3,20","+0,63%"
"CEBR6","CEB","8.200","24,95","-0,16%"
"TELB4","Telebras","7.700","9,13","-2,04%"
"BRSR3","Banrisul","7.100","13,05","+0,85%"
"MGEL4","Mangels","6.900","5,72","-12,67%"
"ENGI4","Energisa","6.500","8,82","+0,57%"
"LUPA11","LUPA11","6.500","0,20","+0,00%"
"BEES4","Banestes","5.700","8,26","-0,36%"
"INEP3","Inepar","5.500","1,60","+1,91%"
"ALPA3","Alpargatas","5.400","9,72","-2,70%"
"CRPG5","Tronox Pigmentos","5.100","14,10","-1,95%"
"NUTR3","Nutriplant","4.700","2,96","+0,34%"
"CLSC4","Celesc","4.600","102,62","+0,05%"
"TPIS3","Triunfo","4.500","4,00","-0,25%"
"LUXM4","Trevisa","4.200","4,20","-12,32%"
"ALUP3","Alupar","3.900","10,87","+1,30%"
"BRKM3","Braskem","3.900","9,32","+0,11%"
"CGRA4","Grazziotin","3.700","27,80","+0,72%"
"EMAE4","EMAE","3.500","28,00","+0,36%"
"RSUL4","Metalúrgica Riosulense","3.300","65,56","-4,82%"
"PSVM11","PORTO VM","3.300","6,00","+0,00%"
"WHRL3","Whirlpool","3.000","4,46","-0,45%"
"NGRD3","Neogrid","2.700","26,10","-0,42%"
"CEBR5","CEB","2.700","22,20","-1,99%"
"PINE3","Banco Pine","2.700","7,73","+0,65%"
"LOGN3","Log-In","2.600","24,67","-0,12%"
"BPAC3","Banco BTG Pactual","2.500","24,51","-0,04%"
"DEXP4","Dexxos","2.500","8,26","+0,73%"
"RSID3","Rossi Residencial","2.500","1,99","-0,50%"
"MNPR3","Minupar","2.400","40,20","-4,74%"
"BGIP4","Banese","2.200","27,99","-0,78%"
"MTSA4","Metisa","2.100","42,37","-0,54%"
"BIOM3","Biomm","2.100","8,26","+0,36%"
"WLMM4","WLM","2.000","21,00","-0,10%"
"FHER3","Fertilizantes Heringer","2.000","3,97","+0,00%"
"ATED3","ATOM EDUCAÇÃO E EDITORA S.A.","2.000","2,11","+1,93%"
"BAZA3","Banco da Amazônia","1.900","78,43","+0,03%"
"BSLI3","Banco de Brasília","1.900","9,32","+0,00%"
"EPAR3","Embpar Participações","1.800","4,37","-0,23%"
"RNEW11","Renova Energia","1.800","3,30","-4,62%"
"ISAE3","ISA Energia","1.700","30,93","+0,39%"
"AVLL3","Alphaville","1.700","1,69","+1,20%"
"HOOT4","Hotéis Othon","1.600","3,91","-3,93%"
"COCE5","Coelce","1.500","29,79","+1,78%"
"BPAC5","Banco BTG Pactual","1.400","10,47","-0,38%"
"VSTE3","LE LIS BLANC","1.400","5,50","-0,54%"
"WHRL4","Whirlpool","1.400","4,85","+0,21%"
"BALM4","Baumer","1.300","17,00","+0,00%"
"RPMG3","Refinaria de Manguinhos","1.200","2,92","+1,04%"
"GEPA4","Rio Paranapanema Energia","1.100","36,00","+0,06%"
"REAG3","REAG3","1.100","2,76","-0,36%"
"CTKA4","Karsten","1.000","36,35","+9,45%"
"EALT3","Electro Aço Altona","1.000","12,80","+1,43%"
"TELB3","Telebras","1.000","12,42","+0,16%"
"BSLI4","Banco de Brasília","1.000","9,77","-1,61%"
"RVEE3","REVEE","900","19,90","-13,48%"
"RVEE3","REVEE S.A.","900","19,90","-13,48%"
"HAGA3","Haga","900","1,81","-3,72%"
"UNIP5","Unipar","800","69,70","+2,12%"
"PTNT3","Pettenati","800","8,28","+0,98%"
"MRSA3B","MRS Logística","700","27,88","+0,00%"
"BNBR3","Banco do Nordeste","600","99,00","-0,99%"
"EKTR4","Elektro","600","47,50","-1,04%"
"GEPA3","Rio Paranapanema Energia","600","34,00","+3,19%"
"PLAS3","Plascar","400","4,99","+0,00%"
"BIOM11","Biomm","400","3,00","+4,90%"
"ENMT3","Energisa MT","300","51,88","+0,15%"
"BMEB3","Banco Mercantil do Brasil","300","40,60","-3,33%"
"MRSA5B","MRS Logística","300","24,50","+0,00%"
"BRKM6","Braskem","300","8,29","+14,82%"
"DOHL4","Döhler","300","3,80","+0,53%"
"EQMA3B","Equatorial Maranhão","200","32,00","+6,70%"
"CGRA3","Grazziotin","200","28,30","+1,62%"
"MRSA6B","MRS Logística","200","25,00","+0,00%"
"BMIN4","Banco Mercantil de Investimentos","200","17,00","-2,80%"
"CEDO4","Cedro Têxtil","200","11,27","-2,00%"
"REDE3","Rede Energia","200","6,38","+0,00%"
"MAPT4","Cemepe","200","3,75","+17,19%"
"NEXP3","Brasil Brokers","200","3,45","+0,00%"
"OSXB3","OSX Brasil","200","2,36","-0,84%"
"CGAS3","Comgás","100","125,00","+0,01%"
"CEEB3","COELBA","100","36,75","+0,00%"
"CCTY3","REDVECO PROPERTIES S.A","100","36,60","-0,08%"
"CCTY3","RDVC CITY","100","36,60","-0,08%"
"BALM3","Baumer","100","20,90","+0,00%"
"FIEI3","Fica","100","20,00","+1,16%"
"EUCA3","Eucatex","100","19,86","+5,08%"
"CPLE5","Copel","100","13,50","+0,00%"
"MWET4","Wetzel","100","10,30","-0,96%"
"SNSY5","Sansuy","100","3,45","+0,00%"
"BMKS3","Monark","18","445,00","+2,05%"
"ESTR4","Estrela","5.500","6,00","+10,50%"
"PATI3","Panatlântica","2.000","43,00","+0,00%"
"TKNO4","Tekno","1.300","171,00","-1,16%"
"CEDO3","Cedro Têxtil","400","19,00","-9,52%"
"CGAS5","Comgás","300","128,50","-0,19%"
"FESA3","Ferbasa","300","12,10","+8,91%"
"BAUH4","Excelsior","200","86,97","+0,01%"
"PATI4","Panatlântica","200","36,00","+2,86%"
"ESTR3","Estrela","200","5,01","+0,20%"
"SOND6","Sondotécnica","100","57,11","+7,94%"
"EKTR3","Elektro","100","49,00","+0,00%"
"GSHP3","General Shopping & Outlets","100","2,94","+1,38%"
"PEAB4","Participações Aliança da Bahia","5.000","35,00","-1,96%"
"CTSA4","Santanense","3.800","2,51","-2,71%"
